employee_id,month,year,total_tasks_assigned,total_tasks_completed,avg_completion_percentage,on_time_completion_rate,total_hours_worked,expected_hours,avg_task_progress,productivity_score,performance_status
39,2,2024,13,7,53.0,72.87,118.4,176.0,47.98,64.5,Good
29,11,2024,19,9,57.2,49.23,111.2,176.0,53.2,55.5,Needs Improvement
15,10,2024,28,21,77.12,77.11,146.4,176.0,85.32,74.1,Good
43,12,2025,7,1,27.66,30.66,116.1,176.0,23.96,27.9,Low Productivity
8,1,2024,26,19,80.54,80.26,143.1,176.0,83.09,80.6,Excellent
21,12,2024,23,14,60.67,62.9,131.1,176.0,56.69,63.7,Good
39,7,2024,17,12,68.71,73.49,167.0,176.0,59.26,75.2,Excellent
19,1,2024,16,12,84.17,85.21,153.3,176.0,83.65,85.9,Excellent
23,6,2025,24,12,48.85,60.74,117.3,176.0,51.92,54.0,Needs Improvement
11,3,2025,5,3,68.27,68.94,149.5,176.0,66.6,71.0,Good
11,3,2024,25,9,39.0,25.47,106.7,176.0,29.02,39.7,Low Productivity
24,1,2024,21,12,60.44,50.71,136.1,176.0,49.27,62.9,Good
36,4,2025,17,14,72.0,92.77,155.4,176.0,77.76,85.7,Excellent
40,3,2025,5,3,63.96,57.84,128.1,176.0,63.89,63.9,Good
24,7,2025,14,7,52.76,48.27,111.6,176.0,55.8,52.7,Needs Improvement
3,7,2025,19,10,56.42,56.86,122.3,176.0,57.58,56.9,Needs Improvement
22,10,2025,11,8,75.79,75.81,131.5,176.0,70.04,75.7,Excellent
2,6,2024,26,11,47.54,44.21,120.7,176.0,46.26,48.9,Needs Improvement
24,1,2024,22,18,82.93,90.86,154.3,176.0,74.44,84.1,Excellent
44,6,2024,20,18,88.25,80.04,122.6,176.0,92.98,87.0,Excellent
30,2,2025,18,7,39.3,25.71,116.7,176.0,40.89,39.4,Low Productivity
38,2,2024,22,10,47.79,58.95,161.4,176.0,51.49,57.7,Needs Improvement
2,2,2025,11,4,39.6,32.74,108.6,176.0,46.05,46.7,Needs Improvement
21,1,2024,21,18,91.67,75.15,164.4,176.0,89.89,84.2,Excellent
33,1,2024,22,7,30.55,29.58,116.9,176.0,26.84,39.0,Low Productivity
12,12,2025,16,10,58.72,63.39,106.3,176.0,58.19,63.2,Good
22,9,2024,12,4,37.52,30.72,115.1,176.0,43.86,40.1,Needs Improvement
44,7,2024,26,16,73.88,62.64,119.0,176.0,66.05,65.4,Good
25,2,2024,6,5,79.41,73.87,145.2,176.0,79.51,77.3,Excellent
49,4,2025,11,7,64.69,71.03,110.4,176.0,68.72,68.0,Good
27,4,2025,8,1,29.2,11.64,105.7,176.0,30.74,32.4,Low Productivity
42,1,2024,22,14,68.08,65.41,127.1,176.0,73.45,70.2,Good
28,9,2025,10,2,28.21,26.97,120.3,176.0,20.53,35.9,Low Productivity
16,10,2024,13,8,61.76,66.79,108.9,176.0,67.19,57.1,Needs Improvement
15,12,2024,13,8,50.39,65.5,144.6,176.0,47.27,67.5,Good
47,9,2025,18,7,40.93,30.93,118.0,176.0,30.45,42.9,Needs Improvement
44,3,2024,12,7,60.23,55.07,113.8,176.0,58.6,57.4,Needs Improvement
3,12,2025,23,15,72.05,60.78,109.9,176.0,67.85,67.3,Good
37,7,2025,7,6,85.7,76.87,147.2,176.0,84.88,85.1,Excellent
7,8,2025,22,19,95.79,90.86,153.5,176.0,88.19,92.9,Outstanding
21,3,2025,9,5,65.09,60.59,117.3,176.0,64.48,65.8,Good
9,8,2024,18,9,51.6,55.2,109.0,176.0,48.72,54.6,Needs Improvement
39,6,2024,8,2,30.11,32.82,121.8,176.0,40.05,38.8,Low Productivity
18,4,2024,11,4,47.31,32.99,101.9,176.0,48.18,45.9,Needs Improvement
4,12,2025,24,13,48.94,44.79,132.2,176.0,50.08,51.0,Needs Improvement
25,10,2024,29,23,82.99,77.15,162.1,176.0,81.85,80.8,Excellent
14,7,2024,16,9,55.63,49.16,115.7,176.0,61.87,50.9,Needs Improvement
50,12,2024,6,2,48.46,56.6,100.2,176.0,50.89,53.5,Needs Improvement
9,3,2024,15,7,42.45,60.83,133.1,176.0,50.01,58.3,Needs Improvement
26,1,2025,18,9,54.23,56.57,115.8,176.0,59.5,53.4,Needs Improvement
2,11,2024,26,10,39.58,43.13,105.7,176.0,37.66,41.5,Needs Improvement
20,6,2024,27,11,44.62,42.33,134.9,176.0,48.27,52.3,Needs Improvement
28,10,2025,20,7,38.65,31.16,107.6,176.0,42.72,39.4,Low Productivity
47,10,2025,24,15,65.99,69.97,134.8,176.0,70.71,70.1,Good
7,9,2025,10,3,33.13,44.33,82.5,176.0,35.14,38.7,Low Productivity
44,7,2025,27,7,31.83,25.42,101.4,176.0,25.12,32.5,Low Productivity
8,9,2025,8,5,69.84,66.88,120.5,176.0,69.69,69.6,Good
47,10,2025,19,11,60.24,52.79,119.8,176.0,60.79,59.7,Needs Improvement
35,5,2024,28,25,86.11,87.96,144.0,176.0,86.46,91.8,Outstanding
14,11,2025,29,25,85.73,77.85,169.9,176.0,91.46,84.5,Excellent
17,3,2025,5,2,42.62,44.17,107.2,176.0,39.4,44.0,Needs Improvement
36,3,2025,11,7,74.16,70.48,125.6,176.0,74.84,70.1,Good
50,9,2025,29,9,35.04,33.74,127.9,176.0,34.69,42.3,Needs Improvement
40,5,2024,16,5,36.81,38.63,103.9,176.0,40.23,41.1,Needs Improvement
4,3,2024,14,8,56.62,39.9,118.2,176.0,65.67,60.9,Good
2,6,2024,9,7,76.38,80.71,160.8,176.0,79.49,85.5,Excellent
6,7,2024,16,5,36.72,41.02,109.1,176.0,39.51,41.1,Needs Improvement
42,9,2025,22,18,92.4,83.11,147.9,176.0,87.3,85.4,Excellent
4,7,2025,14,11,80.05,89.1,148.5,176.0,72.33,77.8,Excellent
29,11,2025,10,5,60.97,54.16,144.1,176.0,62.25,64.5,Good
18,2,2025,16,5,36.39,38.19,92.5,176.0,35.45,37.5,Low Productivity
26,2,2025,11,3,32.37,21.54,120.8,176.0,34.67,36.5,Low Productivity
44,11,2025,22,21,95.21,100.0,135.7,176.0,92.15,92.8,Outstanding
34,4,2025,6,1,28.67,35.95,91.5,176.0,35.68,31.0,Low Productivity
10,8,2024,14,3,24.15,22.6,89.2,176.0,18.17,33.0,Low Productivity
36,12,2025,19,9,53.47,40.51,119.4,176.0,52.49,49.4,Needs Improvement
